accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
OM976635.1,553,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-L36 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
OM976634.1,611,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-T9 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM976633.1,599,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-T11 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM976632.1,609,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-A1 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",stool,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
OM478529.1,604,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-B8 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478528.1,604,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L11 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478527.1,617,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L41 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478526.1,613,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L74 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478525.1,605,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L88 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478524.1,609,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L91 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478523.1,580,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L107 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478522.1,549,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L130 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478521.1,580,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-L135 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478520.1,606,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-T4 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478519.1,576,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-T1 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478518.1,582,Homo sapiens,"Blastocystis sp. subtype 3 isolate 4E181-B30 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST3,barcode_mapping
OM478517.1,609,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-B18 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM478516.1,607,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-B31 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM478515.1,604,Homo sapiens,"Blastocystis sp. subtype 2 isolate 4E181-B1 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST2,barcode_mapping
OM478514.1,609,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-T6 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
OM478513.1,599,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-T2 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
OM478512.1,612,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-T15 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
OM478511.1,614,Homo sapiens,"Blastocystis sp. subtype 1 isolate 4E181-T16 small subunit ribosomal RNA gene, partial sequence","PCR_primers=fwd_name: RD5, rev_name: BhRDr",,Homo sapiens,Associated Risk of Blastocystis Infection in Colorectal Cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=Colorectal,ST1,barcode_mapping
KR000003.1,579,Homo sapiens,"Uncultured Blastocystis clone ST3 18S ribosomal RNA gene, partial sequence",,stool sample,Homo sapiens,Severe Blastocystis infection in a patient with colorectal cancer; Direct Submission,,,colorectal_cancer,colorectal_cancer=colorectal,ST3,barcode_mapping
