host,host_source,country,collection_date,isolation_source,seq_tech,md5,length,accession,assigned,containment_dist,confidence,top5
Centrochelys sulcata (African spurred tortoise),host_qualifier,Unknown,Unknown,Unknown,Sanger,b6010ca94f56ed2ecf2a98cb49b0e53b,602,MH807192.1,novel_3,0.2695,low,novel_3:0.269; novel_3:0.269; novel_3:0.271; novel_3:0.273; novel_3:0.273
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,1f4f5fb8953587c01c5b85262574cfd6,340,MK170186.1,novel_17,0.018,high,novel_17:0.018; novel_17:0.030; ST7:0.246; ST7:0.252; ST7:0.255
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,76a0636afb9776b8058436fd4a7f1c62,546,MG987042.1,novel_17,0.0853,medium,novel_17:0.085; novel_17:0.093; ST7:0.139; ST7:0.141; ST7:0.145
Homo sapiens,host_qualifier,Iran,Unknown,Feces,Sanger,6a10aeb28f382edf971393698c3368b9,489,MH221016.1,novel_15,0.056,medium,novel_15:0.056; ST3:0.056; ST3:0.056; ST3:0.056; ST3:0.056
Homo sapiens,host_qualifier,Iran,Unknown,Feces,Sanger,88c723df54786121d5b282ce0b4e42f2,423,MH221014.1,novel_15,0.0144,high,novel_15:0.014; ST3:0.014; ST3:0.014; ST3:0.014; ST3:0.014
Bos taurus,host_qualifier,USA,Unknown,feces,Sanger,ba85150951696bcd48a211dcb0f5275c,475,MH634436.1,novel_8,0.0,high,novel_8:0.000; ST3:0.000; ST3:0.000; ST3:0.000; ST3:0.000
Philippine_macaque,host_qualifier,Philippines,Unknown,Unknown,Sanger,50dcb036db57d6c6f070c3b4bef1191e,591,MF737391.1,novel_2,0.0448,high,novel_2:0.045; novel_2:0.045; novel_2:0.045; novel_2:0.052; ST36:0.365
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,9dcea26a00e47c5037ecbf6117e6244d,372,MG280746.1,novel_5,0.0,high,novel_5:0.000; ST4:0.000; novel_5:0.000; ST4:0.000; ST4:0.000
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,9dcea26a00e47c5037ecbf6117e6244d,372,MG280745.1,novel_5,0.0,high,novel_5:0.000; ST4:0.000; novel_5:0.000; ST4:0.000; ST4:0.000
Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Sanger,b18cab5ad149a5a479e5ae9f9d69d81f,552,MH349754.1,novel_17,0.0,high,novel_17:0.000; novel_17:0.011; ST7:0.152; ST7:0.154; ST7:0.154
Homo sapiens,host_qualifier,Poland,2017,feces,Sanger,d794bf578bd9d1cf923db54ce25fafba,548,MG720856.1,novel_17,0.0037,high,novel_17:0.004; novel_17:0.011; ST7:0.153; ST7:0.155; ST7:0.155
Cuora mouhotii,host_qualifier,Poland,Unknown,Unknown,Sanger,e2b914dcd39984cb530d276dd3bca6a2,576,KU146575.1,novel_2,0.0,high,novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000; ST36:0.345
Homo sapiens,host_qualifier,Thailand: Nakhon phanom,Unknown,Unknown,Unknown,0fb0d6a8c2728757d4f4c7eb8b482e23,371,KM116067.1,novel_8,0.0,high,novel_8:0.000; ST3:0.000; ST3:0.000; ST3:0.000; ST3:0.000
Homo sapiens,host_qualifier,Mexico: Michocan,Unknown,Unknown,Sanger,0b79b04827fb48554f01c88ff785ff45,480,KM213467.1,novel_8,0.0426,high,novel_8:0.043; ST3:0.043; ST3:0.043; ST3:0.043; ST3:0.043
