host,host_source,country,collection_date,isolation_source,seq_tech,md5,length,accession,assigned,containment_dist,confidence,separation_note,top5
Homo sapiens,host_qualifier,Afghanistan,2019,stool sample,Sanger,034a4c7ec11638052620506fc4e3194e,533,PV472029.1,novel_16,0.0,high,,novel_16:0.000; novel_16:0.011; ST7:0.143; ST7:0.144; ST7:0.144
Bamaxiang pig,isolation_source,"China: Bama Yao Autonomous County, Guangxi Province",May-2024,Bamaxiang pig,Sanger,f2478235abb2acda3c5e5b61dfdec87d,526,PQ561068.1,novel_3,0.0097,high,,novel_3:0.010; novel_3:0.010; ST12:0.023; ST5:0.027; ST5:0.027
Bamaxiang pig,isolation_source,"China: Bama Yao Autonomous County, Guangxi Province",May-2024,Bamaxiang pig,Sanger,90f26e84f856bd3025f8f2a449076b9d,527,PQ561067.1,novel_3,0.0272,high,,novel_3:0.027; novel_3:0.027; ST5:0.039; ST5:0.039; ST5:0.039
Tiliqua scincoides,host_qualifier,Portugal,2023,Unknown,Sanger,dea5916e29189036158d228ca49c2325,597,OR989906.2,novel_2,0.0187,high,no rival in top-5,novel_2:0.019; novel_2:0.019; novel_2:0.019; novel_2:0.019; novel_2:0.019
Stigmochelys pardalis (Leopard tortoise),host_qualifier,Thailand,20-Dec-2022,stool,Sanger,385da79d52518276fc4d5d5974993d00,491,PP506598.1,novel_2,0.0,high,no rival in top-5,novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000
Castor fiber,host_qualifier,Slovakia: Zazriva,Unknown,feces,Sanger,4c9cae0f4328db7170a6d11513beea4c,658,PP094780.1,novel_9,0.028,high,,novel_9:0.028; novel_9:0.078; ST26:0.408; ST26:0.408; ST26:0.408
Iguana,host_qualifier,Malaysia,22-Jan-2022,Unknown,Sanger,f9015dd21dc3b852a272759c04f7534b,581,OR690719.1,novel_1,0.0315,high,,novel_1:0.032; novel_1:0.032; novel_1:0.032; novel_1:0.032; ST36:0.373
iguana,host_qualifier,Malaysia,Unknown,Unknown,Sanger,6ae610381ba82eefdca7874953b5f70d,486,OR545501.1,novel_2,0.0,high,no rival in top-5,novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000
Hen,host_qualifier,Iran,2022,Unknown,Sanger,8b3d5054171d39c6640c4c262bfbbb5d,231,OR619612.1,novel_16,0.0721,medium,,novel_16:0.072; novel_16:0.087; ST7:0.288; ST7:0.298; ST7:0.298
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,b38effad5b234ae4d94b7bf29fd0e504,594,OR458327.1,novel_1,0.0876,medium,,novel_1:0.088; novel_1:0.088; novel_1:0.088; novel_1:0.089; ST36:0.411
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,709908cde0eb3cbef95b7d21473efde1,593,OR458325.1,novel_1,0.0687,medium,,novel_1:0.069; novel_1:0.069; novel_1:0.069; novel_1:0.079; ST36:0.390
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,50b4b74318135e1e44ab8df5a09dc058,594,OR458324.1,novel_1,0.0154,high,,novel_1:0.015; novel_1:0.015; novel_1:0.015; novel_1:0.027; ST36:0.349
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,a04bc8223fab116f2c079f644bd2a066,595,OR458322.1,novel_1,0.0291,high,,novel_1:0.029; novel_1:0.029; novel_1:0.029; novel_1:0.043; ST36:0.362
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,d673b24d2ce6f747f6c778fd35a9ba1f,596,OR458321.1,novel_1,0.0154,high,,novel_1:0.015; novel_1:0.015; novel_1:0.015; novel_1:0.031; ST36:0.348
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,568806aa9cae6072d36ac92d4afc5b5f,594,OR458320.1,novel_1,0.0154,high,,novel_1:0.015; novel_1:0.015; novel_1:0.015; novel_1:0.029; ST36:0.349
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,5cb1041a87adef134dcb012445f9955e,596,OR458319.1,novel_1,0.0802,medium,,novel_1:0.080; novel_1:0.080; novel_1:0.080; novel_1:0.094; ST36:0.386
Rhinella marina,host_qualifier,Philippines,Unknown,Unknown,Sanger,fcd8afc52de741a858c8dd911f1cce09,597,OR458318.1,novel_1,0.0544,medium,,novel_1:0.054; novel_1:0.054; novel_1:0.054; novel_1:0.058; ST36:0.384
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,be491b3bae4b0ad73e30ac6d0cf94532,533,OR264270.1,novel_1,0.208,low,,novel_1:0.208; novel_1:0.208; novel_1:0.208; novel_1:0.208; ST25:0.363
Homo sapiens,host_qualifier,Kosovo,Feb-2021,stool sample,Sanger,1da285ed8f04d4651427c4f7c98e8e8c,549,OR062554.1,novel_16,0.0369,high,,novel_16:0.037; novel_16:0.048; ST7:0.185; ST7:0.185; ST7:0.186
whooper swan,host_qualifier,China,Unknown,feces,Sanger,25fa83fcc9e3f36798b91a5e008f5ec0,507,ON394483.1,novel_16,0.1242,medium,,novel_16:0.124; novel_16:0.128; ST7:0.321; ST7:0.321; ST7:0.321
Heosemys grandis,host_qualifier,Poland,Unknown,feces,Sanger,7efd96145f111856c28fa57c0b582930,577,MW682216.1,novel_1,0.2051,low,,novel_1:0.205; novel_1:0.205; novel_1:0.205; novel_1:0.205; ST36:0.383
Astrochelys radiata,host_qualifier,Poland,Unknown,feces,Sanger,09e8fa484f7ae73938dc8d4bd05ac5d0,584,MW682215.1,novel_2,0.2801,low,no rival in top-5,novel_2:0.280; novel_2:0.280; novel_2:0.282; novel_2:0.284; novel_2:0.284
Testudo graeca,host_qualifier,Poland,Unknown,feces,Sanger,09e8fa484f7ae73938dc8d4bd05ac5d0,584,MW682214.1,novel_2,0.2801,low,no rival in top-5,novel_2:0.280; novel_2:0.280; novel_2:0.282; novel_2:0.284; novel_2:0.284
Stigmochelys pardalis,host_qualifier,Poland,Unknown,feces,Sanger,558f448ff580508fae26b0b104b26110,583,MW682210.1,novel_2,0.2872,low,no rival in top-5,novel_2:0.287; novel_2:0.287; novel_2:0.289; novel_2:0.291; novel_2:0.291
Anser anser,host_qualifier,Poland,Unknown,Unknown,Sanger,f0536ad036fa7ca3f1a17d2580294586,290,MZ956599.1,novel_16,0.0,high,,novel_16:0.000; novel_16:0.000; ST7:0.138; ST7:0.138; ST7:0.138
Anas platyrhynchos,host_qualifier,Philippines,Unknown,Unknown,Sanger,f1a2e657c65fd21185688f7a3ce6f447,527,KP233739.1,novel_1,0.0154,high,,novel_1:0.015; novel_1:0.015; novel_1:0.015; novel_1:0.015; ST36:0.351
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,e4d6e89f3da9f45568a58864dd2ebac1,502,MW538468.1,novel_16,0.0869,medium,,novel_16:0.087; novel_16:0.127; ST7:0.317; ST7:0.317; ST7:0.317
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,fc354c357e392eedce49b07aa1eae2ab,500,MW538467.1,novel_16,0.0855,medium,,novel_16:0.086; novel_16:0.126; ST7:0.314; ST7:0.314; ST7:0.314
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,c894a7c84807444f02785fc0f1e799ad,505,MW538452.1,novel_16,0.0924,medium,,novel_16:0.092; novel_16:0.129; ST7:0.319; ST7:0.319; ST7:0.319
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,7b4b71c6afb268df1694e325792267db,505,MW538445.1,novel_16,0.1174,medium,,novel_16:0.117; novel_16:0.146; ST7:0.314; ST7:0.314; ST7:0.314
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,e0f7a1afe0363bf8e28d30578c9f4564,505,MW538432.1,novel_16,0.1012,medium,,novel_16:0.101; novel_16:0.144; ST7:0.314; ST7:0.314; ST7:0.314
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,9d82530f29678033d0bc01cdc29eb75e,499,MW538380.1,novel_16,0.0468,high,,novel_16:0.047; novel_16:0.138; ST7:0.314; ST7:0.314; ST7:0.314
Gallus gallus,host_qualifier,Brazil,Unknown,feces,Sanger,caa086a5531db58142c930fa5144e439,508,MW538369.1,novel_16,0.1145,medium,,novel_16:0.114; novel_16:0.133; ST7:0.299; ST7:0.299; ST7:0.299
Canis lupus familiaris,host_qualifier,Poland,2017,feces,Sanger,e6152aed007a29df38cbff33858ac72a,572,MW346669.1,novel_16,0.0035,high,,novel_16:0.004; novel_16:0.011; ST7:0.147; ST7:0.149; ST7:0.149
Homo sapiens,host_qualifier,Poland,2017,feces,Sanger,e6152aed007a29df38cbff33858ac72a,572,MW346668.1,novel_16,0.0035,high,,novel_16:0.004; novel_16:0.011; ST7:0.147; ST7:0.149; ST7:0.149
Gallus gallus,host_qualifier,Algeria,Unknown,stool,Sanger,1f4f5fb8953587c01c5b85262574cfd6,340,MW295500.1,novel_16,0.018,high,,novel_16:0.018; novel_16:0.030; ST7:0.246; ST7:0.252; ST7:0.255
Anser anser,host_qualifier,Czech Republic: Vsechlapy,Unknown,Unknown,Sanger,cf9961846a43f02b345b96aefaeb998c,615,MT042824.1,novel_16,0.0345,high,,novel_16:0.035; novel_16:0.041; ST7:0.150; ST7:0.153; ST7:0.153
Homo sapiens,host_qualifier,Czech Republic,Unknown,Dolni Brezany,Sanger,8c839568c0a4c0461445ea350e1d8ea7,586,MT039588.1,novel_16,0.0155,high,,novel_16:0.016; novel_16:0.024; ST7:0.157; ST7:0.159; ST7:0.159
Homo sapiens,host_qualifier,Czech Republic,Unknown,Dolni Brezany,Sanger,d38cd2e51bf1d266b2e2e60891390e28,586,MT039587.1,novel_16,0.0604,medium,,novel_16:0.060; novel_16:0.067; ST7:0.164; ST7:0.166; ST7:0.168
Homo sapiens,host_qualifier,Czech Republic,Unknown,Doubravice,Sanger,47537c14d133b7bf4a76d8b073e1fd1b,625,MT039561.1,novel_16,0.1272,medium,,novel_16:0.127; novel_16:0.134; ST7:0.227; ST7:0.228; ST7:0.228
Canis lupus familiaris,host_qualifier,Czech Republic,Unknown,Doubravice,Sanger,8a5b4c2421b9615025b36207abe3e627,627,MT039560.1,novel_16,0.1183,medium,,novel_16:0.118; novel_16:0.126; ST7:0.217; ST7:0.219; ST7:0.220
Canis lupus familiaris,host_qualifier,Czech Republic,Unknown,Liberec,Sanger,f1199ffc8bb98653f67fc3252ce77911,554,MT039558.1,novel_16,0.0293,high,,novel_16:0.029; novel_16:0.040; ST7:0.181; ST7:0.183; ST7:0.183
Anser cygnoides,host_qualifier,Brazil,Unknown,feces,Illumina,b83c0882d0e693384667827cbec960c4,505,MN472821.1,novel_16,0.0926,medium,,novel_16:0.093; novel_16:0.135; ST7:0.308; ST7:0.308; ST7:0.308
Anser cygnoides,host_qualifier,Brazil,Unknown,feces,Illumina,e4d6e89f3da9f45568a58864dd2ebac1,502,MN472814.1,novel_16,0.0869,medium,,novel_16:0.087; novel_16:0.127; ST7:0.317; ST7:0.317; ST7:0.317
Anser cygnoides,host_qualifier,Brazil,Unknown,feces,Illumina,824cc9544358e808e603f5a8f14f4201,499,MN472789.1,novel_16,0.0468,high,,novel_16:0.047; novel_16:0.136; ST7:0.314; ST7:0.314; ST7:0.314
Anser cygnoides,host_qualifier,Brazil,Unknown,feces,Illumina,7b4b71c6afb268df1694e325792267db,505,MN472779.1,novel_16,0.1174,medium,,novel_16:0.117; novel_16:0.146; ST7:0.314; ST7:0.314; ST7:0.314
Centrochelys sulcata (African spurred tortoise),host_qualifier,Unknown,Unknown,Unknown,Sanger,f0f5f71adee2620f576a1bbedcac5b20,550,MH807199.1,novel_2,0.0,high,no rival in top-5,novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000
Testudo graeca (Syrian tortoise),host_qualifier,Unknown,Unknown,Unknown,Sanger,483bff6c0e36ab91d4ab4f529e42f5af,602,MH807198.1,novel_2,0.0136,high,no rival in top-5,novel_2:0.014; novel_2:0.014; novel_2:0.014; novel_2:0.014; novel_2:0.014
Centrochelys sulcata (African spurred tortoise),host_qualifier,Unknown,Unknown,Unknown,Sanger,7175f125083d4ef5290c03b55776a97e,372,MH807197.1,novel_2,0.0,high,no rival in top-5,novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000; novel_2:0.000
Centrochelys sulcata (African spurred tortoise),host_qualifier,Unknown,Unknown,Unknown,Sanger,94f2f1678543511a62b2fe97f934c49c,591,MH807195.1,novel_2,0.0018,high,no rival in top-5,novel_2:0.002; novel_2:0.002; novel_2:0.002; novel_2:0.002; novel_2:0.002
Centrochelys sulcata (African spurred tortoise),host_qualifier,Unknown,Unknown,Unknown,Sanger,b6010ca94f56ed2ecf2a98cb49b0e53b,602,MH807192.1,novel_2,0.2695,low,no rival in top-5,novel_2:0.269; novel_2:0.269; novel_2:0.271; novel_2:0.273; novel_2:0.273
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,1f4f5fb8953587c01c5b85262574cfd6,340,MK170186.1,novel_16,0.018,high,,novel_16:0.018; novel_16:0.030; ST7:0.246; ST7:0.252; ST7:0.255
Unknown,unknown,Unknown,Unknown,Unknown,Sanger,76a0636afb9776b8058436fd4a7f1c62,546,MG987042.1,novel_16,0.0853,medium,,novel_16:0.085; novel_16:0.093; ST7:0.139; ST7:0.141; ST7:0.145
Philippine_macaque,host_qualifier,Philippines,Unknown,Unknown,Sanger,50dcb036db57d6c6f070c3b4bef1191e,591,MF737391.1,novel_1,0.0448,high,,novel_1:0.045; novel_1:0.045; novel_1:0.045; novel_1:0.052; ST36:0.365
Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Sanger,b18cab5ad149a5a479e5ae9f9d69d81f,552,MH349754.1,novel_16,0.0,high,,novel_16:0.000; novel_16:0.011; ST7:0.152; ST7:0.154; ST7:0.154
Homo sapiens,host_qualifier,Poland,2017,feces,Sanger,d794bf578bd9d1cf923db54ce25fafba,548,MG720856.1,novel_16,0.0037,high,,novel_16:0.004; novel_16:0.011; ST7:0.153; ST7:0.155; ST7:0.155
Cuora mouhotii,host_qualifier,Poland,Unknown,Unknown,Sanger,e2b914dcd39984cb530d276dd3bca6a2,576,KU146575.1,novel_1,0.0,high,,novel_1:0.000; novel_1:0.000; novel_1:0.000; novel_1:0.000; ST36:0.345
box turtle,host_qualifier,Unknown,Unknown,Unknown,Unknown,2e7c5af200bdfd66a1afdb87dcd0b14d,516,JF750335.1,novel_1,0.0947,medium,,novel_1:0.095; novel_1:0.095; novel_1:0.095; novel_1:0.095; ST24:0.312
