accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
PP393210.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,107,226,accepted,True,Most prevalent globally; IBS association,0.021001372161369814,False,
PP393209.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393208.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393207.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393205.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393204.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
PP393203.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393202.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393200.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393196.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,107,224,accepted,True,Most prevalent globally; IBS association,0.013935371040076867,False,
PP393194.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393191.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,107,226,accepted,True,Most prevalent globally; IBS association,0.021001372161369814,False,
PP393190.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
PP393189.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393188.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
PP393187.1,ST1,Homo sapiens,Unknown,Peru,Unknown,human feces,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
OR192520.1,ST13,Eastern grey kangaroo,Unknown,Australia,Unknown,feces,Unknown,Unknown,2840,48,86,177,accepted,True,Rare; occasional human reports,0.02912987498719792,False,
OR192519.1,ST46,Eastern grey kangaroo,Unknown,Australia,Unknown,feces,Unknown,Unknown,2840,33,49,69,unknown,False,,,False,
OR192518.1,ST46,Eastern grey kangaroo,Unknown,Australia,Unknown,feces,Unknown,Unknown,2840,33,50,70,unknown,False,,,False,
OR192517.1,ST45,Eastern grey kangaroo,Unknown,Australia,Unknown,feces,Unknown,Unknown,2840,14,16,21,unknown,False,,,False,
OR192516.1,ST24,Sambar deer,Unknown,Australia,Unknown,feces,Sanger,Unknown,2840,49,89,187,tentative,False,Cattle (USA),0.020166377203800042,False,
OR192515.1,ST13,Eastern grey kangaroo,Unknown,Australia,Unknown,feces,Unknown,Unknown,2840,48,86,178,accepted,True,Rare; occasional human reports,0.041564689028943766,False,
OR117711.1,ST14,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,0.001694915975578109,False,
OR117708.1,ST14,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,-0.0,False,
OR117707.1,ST21,Bos taurus,Unknown,Portugal,Unknown,feces,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,0.003386010265894937,False,
OR117706.1,ST26,Bos taurus,Unknown,USA,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0019461574332442038,False,
OR117705.1,ST25,Bos taurus,Unknown,USA,Unknown,feces,ONT,Unknown,2840,49,88,182,tentative,False,Cattle,-0.0,False,
OR117704.1,ST30,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,47,83,173,tentative,False,Limited data,0.0011288807399387792,False,
OR117703.1,ST30,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,47,83,173,tentative,False,Limited data,0.0005639098010019902,False,
OR117702.1,ST30,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,47,83,173,tentative,False,Limited data,-0.0,False,
OR117701.1,ST26,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.007815114672347741,False,
OR117698.1,ST26,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0009724474620067098,False,
OR117696.1,ST26,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0009724474620067098,False,
OR117695.1,ST26,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,43,68,121,accepted,False,Cattle (USA); dominant in several US states,0.0009724474620067098,False,
OR117692.1,ST25,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,49,88,182,tentative,False,Cattle,0.008513144751517172,False,
OR117691.1,ST21,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,0.0005635919859424285,False,
OR117690.1,ST25,Red deer,host_qualifier,Spain,Unknown,feces,ONT,high,2840,49,88,183,tentative,False,Cattle,0.011378940059051598,False,
OR117689.1,ST25,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,88,182,tentative,False,Cattle,0.00908413830783689,False,
OR117688.1,ST25,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,88,182,tentative,False,Cattle,-0.0,False,
OR117686.1,ST25,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,88,182,tentative,False,Cattle,0.0005642279747019386,False,
OR117685.1,ST25,Bos taurus,host_qualifier,USA,Unknown,feces,ONT,high,2840,49,88,182,tentative,False,Cattle,0.0005642279747019386,False,
OR117674.1,ST21,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,-0.0,False,
OR117673.1,ST21,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,-0.0,False,
OR117672.1,ST21,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,47,81,169,accepted,False,Avian; accepted after full-length validation,0.0005635919859424285,False,
OR117671.1,ST14,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,0.0016968333029771282,False,
OR117670.1,ST14,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,0.002262018679812421,False,
OR117667.1,ST23,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,31,43,56,accepted,True,"Reported in humans (Colombia, Thailand)",-0.0,False,
OR117666.1,ST23,Capra hircus,Unknown,Portugal,Unknown,feces,ONT,high,2840,31,43,56,accepted,True,"Reported in humans (Colombia, Thailand)",-0.0,False,
OR117665.1,ST23,Ovis aries,host_qualifier,Portugal,Unknown,feces,ONT,high,2840,31,43,56,accepted,True,"Reported in humans (Colombia, Thailand)",0.0005661445824595625,False,
