accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
PX062017.1,627,Sugar Glider,"Blastocystis sp. isolate 1-9 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062016.1,627,Sugar Glider,"Blastocystis sp. isolate 1-4 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062015.1,579,Sugar Glider,"Blastocystis sp. isolate 17 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST4,barcode_mapping
PX062014.1,580,Sugar Glider,"Blastocystis sp. isolate 16 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST4,barcode_mapping
PX062013.1,589,Sugar Glider,"Blastocystis sp. isolate 14-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,novel_2,barcode_mapping
PX062012.1,581,Sugar Glider,"Blastocystis sp. isolate 15 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST4,barcode_mapping
PX062011.1,611,Sugar Glider,"Blastocystis sp. isolate 3-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062010.1,613,Sugar Glider,"Blastocystis sp. isolate 6-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062009.1,614,Sugar Glider,"Blastocystis sp. isolate 7 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062008.1,585,Sugar Glider,"Blastocystis sp. isolate 15-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST8,barcode_mapping
PX062007.1,583,Sugar Glider,"Blastocystis sp. isolate 19-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST8,barcode_mapping
PX062006.1,598,Sugar Glider,"Blastocystis sp. isolate 39-1 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062005.1,614,Sugar Glider,"Blastocystis sp. isolate 2-2 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,ST35,barcode_mapping
PX062004.1,604,Sugar Glider,"Blastocystis sp. isolate 28 small subunit ribosomal RNA gene, partial sequence",,,Sugar Glider,Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Sugar Glider (Petaurus breviceps) in China; Direct Submission,,,,,,
PV866602.1,626,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY13 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866601.1,551,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY12 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,ST6,barcode_mapping
PV866600.1,585,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY11 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866599.1,591,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY10 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866598.1,582,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY9 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866597.1,581,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY8 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866596.1,582,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY7 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866595.1,584,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY6 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866594.1,569,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY5 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866593.1,582,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY4 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,,
PV866592.1,1112,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY3 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,ST1,curated_fulllength
PV866591.1,1112,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY2 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,ST1,curated_fulllength
PV866590.1,1112,Red-crowned Cranes (Grus japonensis),"Blastocystis sp. isolate DWYXY1 small subunit ribosomal RNA gene, partial sequence",,,Red-crowned Cranes (Grus japonensis),Emergence of Genetic Diversity and molecular characterization of potential zoonotic intestinal parasites in Red-crowned Cranes (Grus japonensis) in China; Direct Submission,,,,,ST1,curated_fulllength
KY675364.2,566,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-7 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675376.1,532,Homo sapiens,"Blastocystis hominis isolate YDU-ST7-1 18S ribosomal RNA gene, partial sequence",subtype: 7,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST7,barcode_mapping
KY675375.1,283,Homo sapiens,"Blastocystis hominis isolate YDU-ST6-3 18S ribosomal RNA gene, partial sequence",subtype: 6,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST6,barcode_mapping
KY675374.1,544,Homo sapiens,"Blastocystis hominis isolate YDU-ST6-2 18S ribosomal RNA gene, partial sequence",subtype: 6,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST6,barcode_mapping
KY675373.1,526,Homo sapiens,"Blastocystis hominis isolate YDU-ST6-1 18S ribosomal RNA gene, partial sequence",subtype: 6,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST6,barcode_mapping
KY675372.1,492,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-7 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675371.1,503,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-6 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675370.1,528,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-5 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675369.1,511,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-4 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675368.1,532,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-3 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675367.1,514,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-2 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675366.1,538,Homo sapiens,"Blastocystis hominis isolate YDU-ST4-1 18S ribosomal RNA gene, partial sequence",subtype: 4,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST4,barcode_mapping
KY675365.1,535,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-8 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675363.1,501,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-6 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675362.1,550,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-5 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675361.1,540,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-4 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675360.1,538,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-3 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675359.1,535,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-2 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675358.1,537,Homo sapiens,"Blastocystis hominis isolate YDU-ST1-1 18S ribosomal RNA gene, partial sequence",subtype: 1,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST1,barcode_mapping
KY675357.1,505,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-18 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675356.1,489,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-17 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675355.1,536,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-16 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675354.1,531,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-15 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675353.1,537,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-14 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675352.1,527,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-13 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675351.1,542,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-12 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675350.1,510,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-11 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675349.1,537,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-10 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675348.1,296,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-9 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675347.1,532,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-8 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675346.1,539,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-7 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675345.1,532,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-6 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675344.1,512,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-5 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675343.1,534,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-4 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675342.1,550,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-3 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675341.1,539,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-2 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
KY675340.1,549,Homo sapiens,"Blastocystis hominis isolate YDU-ST2-1 18S ribosomal RNA gene, partial sequence",subtype: 2,human feces,,Epidemiology and prevalence of Blastocystis spp. in North Cyprus; Direct Submission,,,,,ST2,barcode_mapping
PP108302.1,585,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate D032_BhRDrReverse small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
PP108301.1,578,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate D032_RD5Forward small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
PP106240.1,627,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate D097 small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
OR941043.1,488,Cnephaeus serotinus,"UNVERIFIED_ORG: Blastocystis sp. isolate P16A3 small subunit ribosomal RNA gene, partial sequence",,feces,Cnephaeus serotinus,Direct Submission,,,,,,
OR941042.1,489,Cnephaeus isabellinus,"UNVERIFIED_ORG: Blastocystis sp. isolate P15 small subunit ribosomal RNA gene, partial sequence",,feces,Cnephaeus isabellinus,Direct Submission,,,,,,
OR941041.1,479,Nyctalus leisleri,"UNVERIFIED_ORG: Blastocystis sp. isolate P13D5 small subunit ribosomal RNA gene, partial sequence",,feces,Nyctalus leisleri,Direct Submission,,,,,,
OR835985.1,548,Hedgehog,"UNVERIFIED_ORG: Blastocystis sp. isolate Hedgehog_PB18 small subunit ribosomal RNA gene, partial sequence",,feces,Hedgehog,Blastocystis sp. Erinaceus europaeus 2023; Direct Submission,,,,,,
OR660650.1,582,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate 383-cattle small subunit ribosomal RNA gene, partial sequence",genotype: ST3,feces,dairy cattle,Direct Submission,,,,,,
OR511803.1,522,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate Corum - ST4- 98p small subunit ribosomal RNA gene, partial sequence",,,,"Prevalence of Blastocystis sp. and Dientamoeba fragilis in diarrheal patients in Corum, Turkey; Direct Submission",,,diarrhea_gi,diarrhea_gi=diarrh,,
OR447551.1,574,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate sample56 small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
OR447549.1,575,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate sample59 small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
OR447548.1,575,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate sample17 small subunit ribosomal RNA gene, partial sequence",,,,Direct Submission,,,,,,
OR264279.1,551,Unknown,"UNVERIFIED_ORG: Blastocystis sp. isolate TPG35 small subunit ribosomal RNA gene, partial sequence",,,,Blastocystis in wild animals; Direct Submission,,,,,,
OQ520143.1,582,Sus scrofa,"UNVERIFIED_ORG: Blastocystis sp. isolate xc1 small subunit ribosomal RNA gene, partial sequence",,flies,pig,Direct Submission,,,,,,
OQ520114.1,582,Flies,"UNVERIFIED_ORG: Blastocystis sp. isolate xc-1-ST3 small subunit ribosomal RNA gene, partial sequence",,flies,Flies,Direct Submission,,,,,,
OQ469490.1,582,Flies,"UNVERIFIED_ORG: Blastocystis sp. isolate ST3 small subunit ribosomal RNA gene, partial sequence",,flies,Flies,Direct Submission,,,,,,
OQ456397.1,582,Flies,"UNVERIFIED_ORG: Blastocystis sp. isolate ST5 small subunit ribosomal RNA gene, partial sequence",,flies,Flies,Direct Submission,,,,,,
OP942289.1,590,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. subtype 1 isolate 32B small subunit ribosomal RNA gene, partial sequence",,stool,Homo sapiens,Intestinal multi-parasitism in Egyptians: mapping unexplored patterns; Direct Submission,,,,,,
OP799808.1,546,Homo sapiens,"UNVERIFIED_ORG: Blastocystis hominis isolate XX-225 small subunit ribosomal RNA gene, partial sequence",,stool,Homo sapiens,"Molecular prevalence and subtypes distribution of Blastocystis sp. amongst outpatients and inpatients in Henan Province, China; Direct Submission",,,,,,
OP799777.1,515,Homo sapiens,"UNVERIFIED_ORG: Blastocystis hominis isolate XY-175 small subunit ribosomal RNA gene, partial sequence",,stool,Homo sapiens,"Molecular prevalence and subtypes distribution of Blastocystis sp. amongst outpatients and inpatients in Henan Province, China; Direct Submission",,,,,,
OP799774.1,520,Homo sapiens,"UNVERIFIED_ORG: Blastocystis hominis isolate XY-156 small subunit ribosomal RNA gene, partial sequence",,stool,Homo sapiens,"Molecular prevalence and subtypes distribution of Blastocystis sp. amongst outpatients and inpatients in Henan Province, China; Direct Submission",,,,,,
OP799756.1,551,Homo sapiens,"UNVERIFIED_ORG: Blastocystis hominis isolate XY-38 small subunit ribosomal RNA gene, partial sequence",,stool,Homo sapiens,"Molecular prevalence and subtypes distribution of Blastocystis sp. amongst outpatients and inpatients in Henan Province, China; Direct Submission",,,,,,
ON110354.1,622,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate JS31 small subunit ribosomal RNA gene, partial sequence",,feces,dairy cattle,Direct Submission,,,,,,
ON110348.1,622,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. subtype 1 isolate QX49 small subunit ribosomal RNA gene, partial sequence",,feces,dairy cattle,Direct Submission,,,,,,
ON062437.1,617,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate JS8 small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,beef cattle,Direct Submission,,,,,,
ON062436.1,617,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate JS6 small subunit ribosomal RNA gene, partial sequence",,feces,beef cattle,Direct Submission,,,,,,
OM920842.1,488,Ailurus fulgens,"UNVERIFIED_ORG: Blastocystis sp. isolate RP16 small subunit ribosomal RNA gene, partial sequence",,,Ailurus fulgens,Direct Submission,,,,,,
OM920841.1,560,Ailurus fulgens,"UNVERIFIED_ORG: Blastocystis sp. isolate RP193 small subunit ribosomal RNA gene, partial sequence",,feces,Ailurus fulgens,Direct Submission,,,,,,
OL981931.1,574,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN2-1 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
OL981929.1,606,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN1-11 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
OL981928.1,614,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN1-10 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
OL981927.1,606,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN1-9 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
OL981926.1,565,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN1-6 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
OL981925.1,553,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN1-5 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
OL981924.1,606,Bos taurus,"UNVERIFIED_ORG: Blastocystis sp. isolate CBN1-3 small subunit ribosomal RNA gene, partial sequence",,feces,cattle,Direct Submission,,,,,,
MZ396370.1,400,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. isolate 37 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,"Epidemiological and molecular characterization of Blastocystis infection in children attending daycare centers in Medellin, Colombia; Direct Submission",,,,,,
MZ396369.1,400,Homo sapiens,"UNVERIFIED_ORG: Blastocystis sp. isolate 35 small subunit ribosomal RNA gene, partial sequence",,feces,Homo sapiens,"Epidemiological and molecular characterization of Blastocystis infection in children attending daycare centers in Medellin, Colombia; Direct Submission",,,,,,
